STOPID,PREVSTOPID,TIMESTAMP,T_HOUR,TIMETAKEN
2268,2270,1449890945183,8,30000
9992,9990,1449890910173,8,65010
944,2046,1449890755192,8,219998
1802,297,1449890825185,8,150009
37229,29844,1449890615174,8,365000
4714,1286,1449890945177,8,35000
BP842,9992,1449890955180,8,25000
4876,1739,1449890895172,8,85010
2270,2272,1449890875178,8,105010
9982,23341,1449890915182,8,65011
37122,36947,1449890695175,8,290000
BP4608,BP842,1449890980180,8,5000
2639,2638,1449890940181,8,45000
4643,14530,1449890950189,8,35000
10866,10868,1449890955192,8,30000
34055,315,1449890925161,8,65010
1283,1692,1449890960175,8,30000
1291,315,1449890930171,8,60010
25096,20760,1449890795182,8,194999
1293,1291,1449890940184,8,50000
2238,34246,1449890850175,8,140010
782,1115,1449890975169,8,20000
1282,1284,1449890945170,8,50000
37229,1054,1449890915168,8,80010
29674,33549,1449890955192,8,39999
9045,1937,1449890950170,8,50000
36602,791,1449890965171,8,35000
930,2270,1449890965177,8,35000
14261,R0473,1449890890176,8,110011
3487,35678,1449890915163,8,90012
1692,1283,1449890960176,8,45002
200,35030,1449890935180,8,70012
1011,14241,1449890930184,8,75012
BP882,29684,1449890635183,8,375000
35030,BP882,1449891010183,9,0
2045,943,1449890880174,8,130010
BP4921,BP5529,1449890925175,8,85011
10352,8586,1449890860159,8,155010
34182,1280,1449890960171,8,54999
80011,1283,1449890990175,8,25000
930,2270,1449890980188,8,35000
29775,805,1449890935183,8,80010
331,1282,1449890995170,8,25000
10914,3487,1449891005175,9,14998
8348,660,1449890920172,8,100010
14528,14523,1449890925173,8,95011
34055,1293,1449890990184,8,30000
BP5485,29844,1449890885162,8,140010
804,9986,1449890940183,8,85000
10906,70362,1449890895178,8,130010
BP2167,29674,1449890995191,8,30001
1287,751,1449890975178,8,55000
4894,2238,1449890990185,8,40000
14456,37317,1449890850177,8,180010
BP5244,2043,1449890545170,8,490000
793,14920,1449890935162,8,100010
1284,4714,1449890980177,8,55000
2268,930,1449891000177,9,35000
14511,4876,1449890980182,8,55000
64,2268,1449890975183,8,60000
9990,9988,1449890970187,8,65001
99,36947,1449890680190,8,355000
2046,BP5408,1449890905182,8,130010
BP4242,34055,1449890990171,8,50000
3805,10914,1449891020173,9,20000
FC60,14540,1449890880165,8,160010
14515,14581,1449890950176,8,90000
14530,BP1379,1449890885169,8,155010
2059,25096,1449890955180,8,85000
BP199,BP4608,1449890985180,8,55000
675,8348,1449891020182,9,20000
20932,14261,1449891000187,9,40000
BP1794,9982,1449890980193,8,60000
BP5575,8586,1449890890162,8,155010
BP5244,2043,1449890560179,8,485000
1293,1291,1449890990181,8,55000
BP842,9992,1449890975183,8,70000
1293,1291,1449890965192,8,80000
23341,29775,1449891015193,9,30000
29245,1011,1449891005196,9,39997
324,331,1449891020170,9,30000
2269,29245,1449891045193,9,5001
1740,9045,1449891000170,9,55000
33107,BP5485,1449891025172,9,30000
13506,2639,1449890930163,8,125010
1578,14511,1449890950179,8,105000
BP882,29684,1449890845177,8,210010
35030,BP882,1449891055187,9,0
9992,9988,1449890910180,8,145011
35484,8578,1449890940194,8,115001
616,1802,1449890975194,8,80001
2626,793,1449891035172,9,25000
9988,804,1449891025183,9,35000
BP4608,BP842,1449891045183,9,15000
308,BP4921,1449891010186,9,50000
7966,20932,1449891040187,9,20000
BP1795,10866,1449890985192,8,75000
1488,BP1795,1449891060192,9,0
1289,1287,1449891030178,9,35000
1291,312,1449890945180,8,120000
192,64,1449891035183,9,30000
BP4269,33924,1449890850161,8,220010
10910,3805,1449891040173,9,30000
4826,2059,1449891040180,9,30000
13506,2639,1449890985181,8,85000
10910,10906,1449891025188,9,45000
29676,BP2167,1449891025192,9,44999
10864,BP1794,1449891040193,9,30000
BP2028,166,1449890865183,8,205010
24180,80011,1449891015175,9,60000
64,2268,1449891035177,9,40000
14530,14528,1449891020184,9,55000
791,2626,1449891060172,9,20000
4643,14530,1449891040179,9,40000
1276,675,1449891040182,9,40000
1114,783,1449890970188,8,110003
197,200,1449891005192,9,75000
7962,11481,1449890760193,8,320001
34055,1293,1449891045192,9,35002
320,782,1449890995169,8,90000
143,BP3536,1449890885176,8,200010
2051,944,1449890800169,8,290000
14520,1740,1449891055170,9,35000
14219,13506,1449891055173,9,35000
R0868,FC60,1449891040175,9,50000
33260,331,1449890970178,8,120000
2043,2045,1449891010184,9,80000
33260,324,1449891050170,9,45000
33683,BP5244,1449891045179,9,49999
2268,930,1449891015188,9,80000
BP842,9992,1449891055191,9,39999
2622,616,1449891055195,9,40000
4826,25096,1449890990181,8,110000
R0325,4643,1449890985189,8,115000
BP4608,BP842,1449891095190,9,5000
BP199,BP4608,1449891060183,9,45000
166,29684,1449890865176,8,240010
4838,9990,1449891035188,9,69999
2271,2269,1449891050194,9,54999
297,36602,1449891000171,9,110000
1578,14515,1449891040176,9,70000
1278,1276,1449891080182,9,30000
2648,1114,1449891080191,9,29997
34246,BP976,1449890970194,8,140000
331,1284,1449891035177,9,79999
4896,14511,1449891035182,9,80000
9990,9988,1449891060183,9,54999
9992,4838,1449891105187,9,10000
20684,197,1449891080192,9,34998
BP4242,34055,1449891080194,9,34997
1735,2051,1449891090169,9,30000
376,BP4242,1449891040171,9,80000
10352,BP5575,1449891045172,9,75000
376,34055,1449891020184,9,100000
36602,791,1449891080172,9,45000
377,BP4608,1449890945176,8,180000
312,1289,1449891065178,9,59999
1577,4894,1449891030185,9,94999
7963,7966,1449891060187,9,69999
BP842,9992,1449891115187,9,15000
BP2778,1488,1449891060192,9,70000
14522,14520,1449891090170,9,45000
24180,34182,1449891015170,9,120000
783,14219,1449891090173,9,45000
14219,13506,1449891070181,9,65000
BP4608,BP842,1449891130187,9,5000
3805,10910,1449891070188,9,65000
4759,7962,1449891080194,9,54997
759,10864,1449891070193,9,64999
BP5998,35484,1449891055195,9,79999
8558,10352,1449891015169,9,125000
165,1057,1449890805173,8,335000
BP2895,4826,1449891100181,9,40000
3013,14530,1449891075184,9,64999
BP5486,14456,1449891030187,9,110000
29844,BP5486,1449891140187,9,0
24851,10910,1449891070173,9,75000
1287,1692,1449891005178,9,139998
315,312,1449891125177,9,25000
195,192,1449891065183,9,85000
1801,20684,1449891115190,9,35000
9982,23341,1449891045193,9,105000
8560,8558,1449891140169,9,15000
7725,4826,1449891070180,9,84999
14262,4759,1449891135191,9,20000
1472,33107,1449891055172,9,105000
37643,7823,1449890875164,8,285010
BP3912,377,1449891125176,9,35000
14523,4643,1449891080179,9,80000
BP4242,1293,1449891045181,9,114999
4838,9990,1449891115182,9,45000
377,BP199,1449891105183,9,55000
20997,2648,1449891110188,9,50000
192,2268,1449891095188,9,65000
161,7851,1449890905181,8,255009
660,BP2028,1449891070193,9,90000
14639,1278,1449891110182,9,55000
BP5484,308,1449891060186,9,104999
BP199,BP4608,1449891100190,9,65000
195,64,1449891075177,9,95002
34716,37229,1449890995178,8,175002
29735,29676,1449891070191,9,100002
14456,29735,1449891170193,9,0
BP5529,2271,1449891105193,9,65002
R0078,2622,1449891095195,9,75001
4711,376,1449891120171,9,55000
7960,7963,1449891130186,9,45000
944,2046,1449891035192,9,140000
33291,33260,1449891095170,9,85000
BP3912,377,1449891160183,9,20000
14535,3013,1449891140183,9,40000
305,20997,1449891160188,9,20000
375,BP2778,1449891130192,9,50000
33683,BP5244,1449891035170,9,150000
2952,7725,1449891155179,9,30000
606,376,1449891120184,9,65000
1115,BP5484,1449891165185,9,20000
3487,3805,1449891135188,9,49999
