t_hour,line,sequence,direction,timetaken
11,29,29,1,100000
11,38,9,1,189999
11,29,11,2,74999
11,38,13,1,124999
11,38,18,1,104999
11,29,22,2,54999
11,38,25,1,114999
11,38,40,1,134999
11,29,22,2,55001
11,29,35,2,45001
11,38,27,2,165000
11,29,43,2,30001
11,25,37,1,810001
11,29,8,2,75000
11,38,37,2,195001
11,29,27,2,130000
11,29,12,2,95000
11,29,28,2,85000
11,29,15,2,175000
11,38,3,1,135001
11,29,2,1,315000
11,38,11,1,170000
11,29,7,1,45000
11,29,8,1,105000
11,29,20,1,70001
11,38,20,1,45001
11,38,25,1,100001
11,29,20,1,55001
11,29,16,1,35000
11,38,15,1,85000
11,38,26,2,79999
11,38,31,1,520000
11,38,19,1,35000
11,29,23,2,35000
11,38,24,2,44999
11,29,32,2,124999
11,29,17,1,10005
11,38,22,2,75005
11,29,28,1,105000
11,38,3,2,195000
11,38,2,2,64999
11,38,41,1,45001
11,29,23,2,44999
11,38,1,2,155000
11,38,26,2,85000
11,29,9,2,40000
11,29,29,1,134999
11,25,12,1,10000
11,38,5,1,95001
11,29,13,1,135000
11,38,10,1,65001
11,38,31,2,95001
11,29,32,2,100000
11,38,12,2,95000
11,38,4,1,45000
11,38,21,2,150000
11,29,33,2,35001
11,38,26,1,75001
11,29,18,1,34995
11,38,13,2,105001
11,29,24,2,30000
11,38,34,1,180000
11,25,4,2,0
11,38,28,2,75000
11,38,23,2,44995
11,29,30,1,135000
11,29,12,2,90000
11,38,14,1,90000
11,29,29,2,70000
11,38,27,2,135000
11,38,5,2,165000
11,38,20,1,60001
11,29,21,1,65000
11,29,24,2,60001
11,29,16,2,75000
11,29,21,1,69999
11,29,28,2,85000
11,29,9,1,75000
11,29,10,2,50001
11,29,14,2,150000
11,38,18,1,130001
11,29,13,2,90000
11,29,36,2,105000
11,29,7,2,160000
11,29,33,2,45000
11,29,29,1,70001
11,38,38,2,100000
11,38,12,1,90000
11,38,13,2,120000
11,38,8,1,1224995
11,38,11,2,75001
11,38,21,1,95000
11,25,9,1,5000
11,38,32,2,60000
11,38,34,1,190001
11,29,15,2,170000
11,29,8,1,100000
11,38,25,2,95001
11,38,8,2,180001
11,38,26,1,105000
11,38,24,2,50000
11,29,25,2,60000
11,25,12,1,4999
11,38,14,2,64999
11,38,22,2,69999
11,29,34,2,69999
11,38,39,2,30000
11,29,19,1,70000
11,38,16,1,115000
11,29,40,1,75000
11,29,41,2,230000
11,25,38,1,139999
11,29,19,2,20000
11,29,29,2,50000
11,38,27,1,175001
11,29,14,1,95000
11,38,19,1,49999
11,29,13,2,70000
11,38,6,1,99999
11,29,25,2,65000
11,29,43,2,235000
11,38,15,2,25002
11,29,22,1,70000
11,38,27,2,135000
11,29,16,2,45000
11,29,31,1,85001
11,29,30,1,175001
11,38,33,2,55000
11,29,8,2,70000
11,29,34,2,70000
11,38,27,2,130001
11,38,15,1,95001
11,29,22,1,90000
11,38,5,1,115000
11,38,13,2,120000
11,38,6,2,95001
11,25,13,2,200001
11,38,3,2,145001
11,29,30,2,100000
11,38,28,2,100000
11,38,40,2,45000
11,29,11,2,94999
11,29,37,2,89999
11,38,26,2,69999
11,29,9,1,75000
11,38,14,2,85000
11,29,30,1,150001
11,38,21,1,110000
11,29,17,2,35000
11,29,15,2,100000
11,29,20,1,60000
11,38,20,1,50000
11,25,12,2,485000
11,38,2,1,504999
11,38,40,2,69999
11,29,3,1,189999
11,38,23,2,75001
11,38,35,1,140000
11,38,25,2,85000
11,25,14,2,34999
11,29,35,2,80000
11,38,31,1,510000
11,29,20,2,75000
11,29,3,2,330000
11,38,12,2,104999
11,38,34,2,49999
11,29,23,1,44999
11,29,9,2,50000
11,29,41,1,85000
11,29,10,1,129999
11,29,23,1,65000
11,38,4,2,190000
11,38,35,1,110000
11,38,27,1,160000
11,38,15,2,40000
11,29,32,1,70000
11,38,7,1,85001
11,29,18,2,40000
11,29,26,2,110001
11,38,41,2,35003
11,29,35,2,70002
11,29,30,2,100003
11,25,15,2,30000
11,29,26,2,95000
11,38,41,2,65000
11,38,33,1,189999
11,29,31,2,70000
11,38,17,1,115000
11,29,11,1,30000
11,38,22,1,139999
11,38,11,1,199999
11,38,28,2,95001
11,38,33,1,80000
11,38,16,2,104998
11,29,1,1,119999
11,38,24,2,54999
11,29,12,2,75000
11,38,27,1,139999
11,38,2,2,224999
11,29,14,2,164999
11,29,15,1,119999
11,38,29,2,84999
11,38,29,2,195000
11,38,28,1,124999
11,29,31,1,104999
11,38,1,2,310000
11,29,16,2,74999
11,38,13,1,165000
11,38,26,2,60000
11,29,2,1,310000
11,38,14,2,99999
11,29,21,2,64999
11,29,30,1,179999
11,29,19,2,49999
11,38,42,2,40001
11,38,36,1,80000
11,38,35,2,70001
11,29,10,2,70000
11,38,28,2,119999
11,29,24,1,75000
11,25,1,1,114999
11,29,21,1,100000
11,29,14,2,150001
11,38,16,1,125000
11,38,36,1,75000
11,29,33,1,69999
11,38,7,2,124999
11,29,24,1,80000
11,25,16,2,60000
11,29,36,2,90000
11,38,15,2,30001
11,29,31,1,114999
11,38,3,1,105000
11,29,4,1,105001
11,38,30,2,45001
11,38,21,1,115000
11,29,22,2,30001
11,29,15,2,50001
11,29,17,2,45001
11,38,16,2,85000
11,38,6,1,145002
11,38,17,2,60002
11,29,31,2,79999
11,29,42,1,100002
11,29,32,1,55001
11,25,14,1,4998
11,38,23,1,75001
11,25,15,1,5000
11,38,27,2,140001
11,38,4,2,150000
11,29,42,2,190000
11,29,32,2,84999
11,29,10,1,144999
11,29,18,2,24999
11,29,23,2,29999
11,38,2,2,75000
11,29,25,1,50000
11,29,18,1,19999
11,25,1,1,490000
11,29,32,1,40001
11,38,4,1,40001
11,38,22,1,155000
11,29,11,2,60000
11,38,30,2,85000
11,29,13,2,90000
11,29,25,1,50000
11,25,18,1,10000
11,38,8,1,119999
11,38,37,1,54999
11,29,27,2,109999
11,29,36,2,114997
11,38,14,1,84999
11,29,27,2,119999
11,38,33,1,55000
11,29,5,1,50000
11,29,5,1,20001
11,38,18,1,110000
11,29,12,1,110000
11,38,24,1,34999
11,38,5,2,140000
11,29,33,2,30001
11,29,43,2,35000
11,38,12,1,115001
11,38,37,1,80000
11,38,28,1,105001
11,38,36,2,80000
11,29,16,2,55000
11,38,28,1,145000
11,29,6,1,10000
11,29,20,2,90001
11,29,19,2,35001
11,38,25,2,115000
11,29,37,2,75001
11,38,17,1,80000
11,38,16,2,75000
11,29,11,1,45001
11,38,18,2,59998
11,38,29,1,115001
11,38,13,2,165001
11,29,15,2,85000
11,29,31,1,105000
11,38,34,1,140000
11,38,31,2,80000
11,29,22,1,95000
11,38,9,1,40000
11,38,23,1,50003
11,29,17,2,30003
